names,addresses,awb,product_id,EDD
Tammy Sampson,"Near Munekolala bus Stand, behind Laxmi Narayan Temple, Bengaluru, Karnataka 560037",41460534932,SKU_141,11-02-2023
Katrina Stratter,"4th floor, Park Square Mall, Whitefield Main Rd, Pattandur Agrahara, Bengaluru, Karnataka 560066",58671386654,SKU_69,12-02-2023
Renee Zuniga,"Level 3, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",24977608651,SKU_38,13-02-2023
Dale Jackson,"XMGW+6MW, Doddanakundi Village Outer Ring Road,KR Puram,Hobli, Brindavan Extension, Doddanekundi, Bengaluru, Karnataka 560037",99084254555,SKU_96,11-02-2023
Florence Powell,"9, Sai Baba Temple Rd, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka 560037",28429223295,SKU_47,12-02-2023
Doreen Rosales,"Vaswani Pinnacle Annexe, Whitefield Main Rd, Whitefield, Sathya Sai Layout, Bengaluru, Karnataka 560066",68070405533,SKU_56,13-02-2023
Nathan Stephens,"57/1, udaya Bulding, JK mall, post, Whitefield, Bengaluru, Karnataka 560066",21156149257,SKU_99,13-02-2023
William Gilbert,"NTR Royal Plaza, 89/1, N Thimmareddy Building, road, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",64239330837,SKU_61,11-02-2023
Keiko Jackson,"Borewell Rd, Phase 1, Palm Meadows, Bengaluru, Karnataka 560066",57393556365,SKU_48,11-02-2023
John Meyers,"20/5, Panathur Junction, Outer Ring Road, Kaverappa Layout, Marathahalli, East Bangalore, Bengaluru, Karnataka 560103",87189120582,SKU_96,12-02-2023
Renato Kennedy,"NTR Royal Plaza, 4th Floor,Home, Outer Ring Rd, Marathahalli, Bengaluru, Karnataka 560037",42325476681,SKU_122,11-02-2023
Jennifer Campbell,"Nagondanahalli Main Rd, Nagondanahalli, Bengaluru, Karnataka 560067",63811310290,SKU_135,11-02-2023
Eunice Matz,"Novotel Bengaluru Outer Ring Road, Opp. RMZ Eco-space Business Park, Marathahalli - Sarjapur Outer Ring Rd, Bengaluru, Karnataka 560103",65855704350,SKU_31,13-02-2023
Brandon Stevens,"and Columbia Asia Hospital, Sigma Soft Tech Park, Ground Floor open area near Alpha Tower No.7, Whitefield Main Road, Varthur Kodi, Whitefield Opp to LG Show Room, and, adjacent to ALPHA, Bengaluru, Karnataka 560066",95040388101,SKU_86,13-02-2023
Marilyn Jones,"203, Whitefield Main Rd, Whitefield, Sathya Sai Layout, Bengaluru, Karnataka 560066",62723500000,SKU_67,11-02-2023
Richard Bauman,"Plot No. S3 & S4, Silver Spring Layout, Spice Garden Compound, Marathalli Bridge, Spice Garden Layout, Lakshminarayana Pura, Munnekollal, Bengaluru, Karnataka 560037",57378708509,SKU_144,11-02-2023
Savannah Steele,"57/1, udaya Bulding, JK mall, post, Whitefield, Bengaluru, Karnataka 560066",59069863801,SKU_26,13-02-2023
Kathleen Allain,"64, SH 35, Whitefield, Phase 2, Narayanappa Garden, Bengaluru, Karnataka 560066",83081649494,SKU_96,13-02-2023
Juan Schofield,"Shop No.4, S.H.R. Complex, Siddhapura, Varthur Rd, Whitefield, Bengaluru, Karnataka 560066",62665068155,SKU_109,12-02-2023
Shawnda Mercado,"84/1, Near Vasvani Reserve, Opp. SBI Bank, Kadubeesanahalli, Panathur Main Road, Marathahalli, Bangalore, Bengaluru, Karnataka 560103",76015075032,SKU_9,12-02-2023
Roger Conwell,"Novotel Bengaluru Outer Ring Road, Opp. RMZ Eco-space Business Park, Marathahalli - Sarjapur Outer Ring Rd, Bengaluru, Karnataka 560103",27417889703,SKU_59,11-02-2023
Woodrow Smith,"ITPL Main Rd, Whitefield, KIADB Export Promotion Industrial Area, Krishnarajapura, Bengaluru, Karnataka 560066",17214257537,SKU_58,12-02-2023
Jean Bryant,"10/3, Devarabeesanahali, Outer Ring Road,, Opposite Embassy Tech Village(near Horizon College of Engineering),, Marathahalli Outer ring road, Bengaluru-560103, Bengaluru, Karnataka 560103",54161859066,SKU_125,13-02-2023
